Year,Rice Production (000 M. Ton),Population,Labor Force,Fertilizer consumption (kg per hectare),Annual Average Temperature( ?C ) ,Average rainfall in a year (mm) ,GDP per capita (current US$),"Population, male (% of total population)","Population, female (% of total population)",Ratio of male and female population,Agricultural land (% of land area),"Unemployment, total (% of total labor force) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,
1990,18781.93,103171957,35272754,98.73329103,25.58,2526.8,306.2687008,51.58004224,48.41995776,1.06526409,79.78796958,,,,,,,,,,,,,,,,,,,
1991,19109.19,105599125,36309530,107.0218434,25.25,2563.9,293.1604211,51.56114693,48.43885307,1.06445846,79.28094031,2.200000048,,,,,,,,,,,,,,,,,,
1992,19284.69,107983708,37387956,116.0137066,25.09,1708.59,293.6449876,51.54176313,48.45823687,1.063632655,73.35791657,2.332999945,,,,,,,,,,,,,,,,,,
1993,18917.89,110350641,38509688,111.1665883,25.08,2600.67,300.5557477,51.52226529,48.47773471,1.062802658,72.56664362,2.355999947,,,,,,,,,,,,,,,,,,
1994,17736.89,112737684,39678222,124.8057802,25.48,1758.22,299.5330371,51.50289587,48.49710413,1.061978788,71.89060459,2.375999928,,,,,,,,,,,,,,,,,,
1995,18476.12,115169933,40895568,142.1941932,25.75,2303.87,329.4240761,51.48375054,48.51624946,1.061165096,72.01352078,2.482000113,,,,,,,,,,,,,,,,,,
1996,19747.29,117649927,42090789,147.2448247,25.65,2103.97,394.7174919,51.46451897,48.53548103,1.060348386,71.65245448,2.50999999,,,,,,,,,,,,,,,,,,
1997,19641.79,120160571,43331123,132.205006,25.22,2137.65,401.4986674,51.44490617,48.55509383,1.059516152,71.94438043,2.687000036,,,,,,,,,,,,,,,,,,
1998,20442.8,122682818,44603763,138.4551692,25.92,2493.47,407.4291762,51.42492733,48.57507267,1.058669077,72.47445648,2.900000095,,,,,,,,,,,,,,,,,,
1999,23924.86,125189655,45894258,161.8895211,26.1,2498.54,409.5431838,51.40456773,48.59543227,1.057806574,72.87393409,3.055000067,,,,,,,,,,,,,,,,,,
2000,26048.02,127657862,47188245,158.1075449,25.28,2332.39,418.0689421,51.38343771,48.61656229,1.056912198,72.21325958,3.269999981,,,,,,,,,,,,,,,,,,
2001,25197.66,130088709,48387234,174.5902686,26.01,2251.5,415.0344043,51.36300261,48.63699739,1.056047975,72.23630637,3.617000103,,,,,,,,,,,,,,,,,,
2002,26032.69,132478077,49600849,188.6391615,25.77,2285.7,413.0802826,51.3424006,48.6575994,1.055177428,71.85219329,3.898000002,,,,,,,,,,,,,,,,,,
2003,26975.23,134791598,50809260,160.2668935,25.74,2139.97,446.3106757,51.31647597,48.68352403,1.054083019,71.66013674,4.320000172,,,,,,,,,,,,,,,,,,
2004,25614.09,136986429,51987835,170.6713742,25.81,2210.38,475.2919302,51.27871024,48.72128976,1.052490821,71.62172544,4.261000156,,,,,,,,,,,,,,,,,,
2005,27121.56,139035505,53123178,197.7487043,26,1980.05,499.4619402,51.22547223,48.77452777,1.050250501,71.5295383,4.25,,,,,,,,,,,,,,,,,,
2006,27824.55,140921154,54083636,193.1901015,26.34,1880.04,509.6401899,51.15449949,48.84550051,1.047271477,71.29138818,3.589999914,,,,,,,,,,,,,,,,,,
2007,29217.72,142660381,54954286,184.4110798,26.06,2432.2,558.0518407,51.06942621,48.93057379,1.043711983,71.18383652,4.126999855,,,,,,,,,,,,,,,,,,
2008,31778.53,144304164,55799460,200.0640779,25.84,2143.17,634.9870697,50.9796183,49.0203817,1.039967796,71.08396712,4.566999912,,,,,,,,,,,,,,,,,,
2009,32541.79,145924795,56639145,188.8528733,26.58,1945.63,702.2644196,50.8976504,49.1023496,1.036562421,71.03019129,5,,,,,,,,,,,,,,,,,,
2010,34049.35,147575433,57493263,212.9639327,26.47,2195.64,781.1535777,50.83210022,49.16789978,1.033847296,70.99177998,3.380000114,,,,,,,,,,,,,,,,,,
2011,30733,149273134,58436990,255.764522,25.84,1932.64,861.7621622,50.78589293,49.21410707,1.031937709,70.12368441,3.770999908,,,,,,,,,,,,,,,,,,
2012,30853,151005733,59377977,260.4432855,25.35,1941.19,883.1171296,50.755618,49.244382,1.030688496,70.06222632,4.118999958,,,,,,,,,,,,,,,,,,
2013,31277.2,152761413,60318372,254.6001563,25.28,1984.83,981.8608514,50.73571884,49.26428116,1.029868246,69.97003918,4.429999828,,,,,,,,,,,,,,,,,,
2014,34861.2,154517385,61262254,279.2202373,25.57,1767.21,1118.873808,50.71805998,49.28194002,1.029140897,69.90089882,4.383999825,,,,,,,,,,,,,,,,,,
2015,35060.1,156256287,62203550,298.9664056,25.42,2472.81,1248.45331,50.6969406,49.3030594,1.028271698,70.38672505,4.366000175,,,,,,,,,,,,,,,,,,
2016,34201.5,157977151,63131472,289.4022702,25.87,2067.81,1678.95323,50.67119485,49.32880515,1.0272131,70.63232696,4.349999905,,,,,,,,,,,,,,,,,,
2017,36278.5,159685421,66854855,303.7127465,25.65,2664.2,1839.583378,50.64273714,49.35726286,1.026044278,70.579473,4.369999886,,,,,,,,,,,,,,,,,,
2018,37363.72,161376713,68073235,318.4668631,25.25,1763.89,1991.483267,50.61270333,49.38729667,1.024812183,70.69447645,4.413000107,,,,,,,,,,,,,,,,,,
2019,38695.33,163046173,69229775,,25.6,1979.05,2154.226819,50.58308912,49.41691088,1.023598769,,4.438000202,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
